sku,ean,brand,product_name,description,category,size,color,price,list_price,availability,image_url,deeplink_url
S0-00000,4076726811657,REPLAY,REPLAY 511 Slim,"Replay 511 Slim. super enge Passform, high rise. leicht ausgestellt, dunkel gewaschen. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Knopfleiste.",Herrenjeans,W31/L32,dunkelblau,148.03,148.03,in stock,https://picsum.photos/seed/0-0/400/500,https://awin-tracking.example.com/click?sku=S0-00000
S0-00001,4866417503705,Hugo Boss,Hugo Boss 511 Slim,"BOSS 511 Slim. schmale Passform, high rise. Flared, ungewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle.",Herrenjeans,W 32 L 32,hellblau,46.16,46.16,in stock,https://picsum.photos/seed/0-1/400/500,https://awin-tracking.example.com/click?sku=S0-00001
S0-00002,4815787218283,Diesel,Diesel Loose Tapered,"Diesel Loose Tapered. super enge Passform, hohe Bundhöhe. Straight Leg, used waschung. Material: 98% Baumwolle, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,32x30,mittelblau,34.66,40.17,in stock,https://picsum.photos/seed/0-2/400/500,https://awin-tracking.example.com/click?sku=S0-00002
S0-00003,4211000094454,NUDIE,NUDIE Regular Straight,"Nudie Jeans Regular Straight. skinny cut, tief sitzend. Flared, stone washed. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W 29 L 34,khaki,101.58,149.16,out of stock,https://picsum.photos/seed/0-3/400/500,https://awin-tracking.example.com/click?sku=S0-00003
S0-00004,4487328413513,DIESEL,DIESEL Baggy Wide Leg,"Diesel Baggy Wide Leg. slim cut, Low Waist. Schlaghose, Light Wash. Material: 99% Cotton, 1% Elastane. Verschluss: Reißverschluss.",Herrenjeans,W 28 L 34,schwarz,56.56,74.33,out of stock,https://picsum.photos/seed/0-4/400/500,https://awin-tracking.example.com/click?sku=S0-00004
S0-00005,,Nudie Jeans,Nudie Jeans Regular Straight,"Nudie Jeans Regular Straight. Skinny Fit, High Waist. Schlaghose, Light Wash. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W38/L34,mittelblau,47.11,78.38,out of stock,https://picsum.photos/seed/0-5/400/500,https://awin-tracking.example.com/click?sku=S0-00005
S0-00006,4979276358279,Jack & Jones,Jack & Jones Regular Straight,"Jack & Jones Regular Straight. lockere Passform, High Waist. Straight Leg, hell gewaschen. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,31x36,hellblau,105.37,105.37,in stock,https://picsum.photos/seed/0-6/400/500,https://awin-tracking.example.com/click?sku=S0-00006
S0-00007,4833009077155,Tommy Hilfiger Denim,Tommy Hilfiger Denim 511 Slim,"Tommy Hilfiger 511 Slim. klassische Passform, tief sitzend. Flared, schwarz. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,29/36,khaki,109.58,116.02,in stock,https://picsum.photos/seed/0-7/400/500,https://awin-tracking.example.com/click?sku=S0-00007
S0-00008,4316597264475,Lee,Lee Baggy Wide Leg,"Lee Baggy Wide Leg. lockere Passform, tief sitzend. leicht ausgestellt, Light Wash. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,31x34,hellblau,142.58,142.58,in stock,https://picsum.photos/seed/0-8/400/500,https://awin-tracking.example.com/click?sku=S0-00008
S0-00009,4223605728604,JACK JONES,JACK JONES Bootcut Classic,"Jack & Jones Bootcut Classic. klassische Passform, Low Waist. Schlaghose, used waschung. Material: 99% Cotton, 1% Elastane. Verschluss: Knopfleiste. Stretchanteil für hohen Tragekomfort.",Herrenjeans,34/32,schwarz,32.71,50.42,out of stock,https://picsum.photos/seed/0-9/400/500,https://awin-tracking.example.com/click?sku=S0-00009
S0-00010,4533523151180,Replay,Replay Baggy Wide Leg,"Replay Baggy Wide Leg. super enge Passform, tief sitzend. verjüngtes Bein, Stonewashed. Material: 100% Cotton. Verschluss: Reißverschluss. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,32x36,mittelblau,95.51,128.08,in stock,https://picsum.photos/seed/0-10/400/500,https://awin-tracking.example.com/click?sku=S0-00010
S0-00011,4621017450744,Wrangler,Wrangler Loose Tapered,"Wrangler Loose Tapered. Loose Fit, tief sitzend. Flared, used waschung. Material: 100% Cotton. Verschluss: Knopfleiste. GOTS zertifiziert. Stretchanteil für hohen Tragekomfort.",Herrenjeans,34x32,schwarz,45.02,60.81,out of stock,https://picsum.photos/seed/0-11/400/500,https://awin-tracking.example.com/click?sku=S0-00011
S0-00012,4306571012708,Tommy Hilfiger Denim,Tommy Hilfiger Denim Skinny Fit,"Tommy Hilfiger Skinny Fit. klassische Passform, High Waist. leicht ausgestellt, Used Look. Material: 80% Baumwolle, 18% Polyester, 2% Elasthan. Verschluss: Reißverschluss.",Herrenjeans,34/34,dunkelblau,114.39,114.39,in stock,https://picsum.photos/seed/0-12/400/500,https://awin-tracking.example.com/click?sku=S0-00012
S0-00013,,Calvin Klein,Calvin Klein Loose Tapered,"Calvin Klein Loose Tapered. Straight Fit, High Waist. Flared, Light Wash. Material: 100% Baumwolle. Verschluss: Knopfleiste. Bio-Baumwolle. Stretchanteil für hohen Tragekomfort.",Herrenjeans,W33/L32,mittelblau,146.68,146.68,in stock,https://picsum.photos/seed/0-13/400/500,https://awin-tracking.example.com/click?sku=S0-00013
